team,conference,record,fbs_record,rating,football_rating,market_rating,market_gap,rating_confidence,early_season_rating_scale,efficiency_score,market_score,schedule_score,avg_team_postgame_elo,fbs_win_pct,fbs_avg_margin,fbs_avg_opponent_pregame_elo,avg_cover_margin,offense_ppa,defense_ppa_allowed,wepa_total,wepa_allowed_total,talent,ap_latest_rank,cfp_latest_rank
Coastal Carolina,Sun Belt,1-2,0-2,-7.53,-5.65,-10.33,-4.68,Medium,1.0,61.34,46.87,36.56,1269.0,0.0,-7.5,1385.5,4.0,0.231316,0.042439,0.0,0.0,573.96,,
Stanford,ACC,1-2,1-2,-7.69,-9.45,-5.06,4.39,Medium,1.0,28.06,86.37,46.07,1359.33,0.3333,-19.0,1642.333,-9.167,0.075214,0.296708,0.0,0.0,705.81,,
Louisiana Tech,Sun Belt,1-2,0-2,-8.01,-6.83,-9.79,-2.97,Medium,1.0,39.06,21.18,29.76,1412.0,0.0,-24.0,1625.5,12.056,0.01477,-0.011792,0.0,0.0,543.02,,
Hawai'i,Mountain West,1-2,1-2,-8.06,-9.69,-5.6,4.09,Medium,1.0,35.43,59.16,49.01,1435.67,0.3333,-5.0,1407.667,-5.0,0.032941,0.129664,0.0,0.0,556.82,,
UAB,American Athletic,1-2,1-2,-8.22,-6.86,-10.26,-3.4,Medium,1.0,44.94,51.89,43.31,1402.33,0.3333,-6.667,1340.333,1.167,0.014824,0.072872,0.0,0.0,606.18,,
Ohio,Mid-American,1-2,1-2,-8.28,-7.82,-8.97,-1.15,Medium,1.0,32.68,50.17,45.36,1318.67,0.3333,-10.333,1452.333,-0.667,0.176045,0.373149,0.0,0.0,522.84,,
Old Dominion,Sun Belt,1-2,0-2,-8.37,-9.46,-6.73,2.73,Medium,1.0,37.75,74.11,33.14,1306.67,0.0,-13.0,1441.5,-10.389,-0.072074,-0.076754,0.0,0.0,544.25,,
Miami (OH),Mid-American,1-2,0-2,-8.72,-8.93,-8.4,0.53,Medium,1.0,49.79,68.83,25.29,1258.0,0.0,-24.5,1546.0,-3.556,0.259078,0.200261,0.0,0.0,621.37,,
Arkansas State,Sun Belt,1-2,0-2,-9.0,-9.67,-8.0,1.67,Medium,1.0,49.33,55.98,30.27,1340.33,0.0,-21.0,1568.0,0.278,0.120036,0.194187,0.0,0.0,606.22,,
Massachusetts,Mid-American,3-0,1-0,-10.42,-6.06,-16.96,-10.9,Low,1.0,77.37,28.41,59.61,1058.0,1.0,16.0,1479.0,13.389,0.28685,-0.146731,0.0,0.0,525.94,,
Central Michigan,Mid-American,2-1,1-1,-10.57,-9.75,-11.8,-2.05,Medium,1.0,38.68,66.7,36.15,1267.67,0.5,-8.5,1398.0,-6.611,0.02843,0.082978,0.0,0.0,540.01,,
Buffalo,Mid-American,1-2,0-2,-11.0,-9.6,-13.09,-3.49,Medium,1.0,23.58,66.51,26.01,1331.33,0.0,-27.5,1632.5,-7.056,0.015234,0.144278,0.0,0.0,549.31,,
Rice,American Athletic,1-2,0-2,-11.25,-9.71,-13.57,-3.85,Medium,1.0,43.21,61.13,30.75,1168.33,0.0,-29.5,1777.5,-0.167,0.032723,0.099195,0.0,0.0,589.89,,
Western Kentucky,Conference USA,0-3,0-3,-11.66,-12.54,-10.33,2.21,Medium,1.0,0.0,87.88,28.63,1273.0,0.0,-41.0,1778.333,-12.889,-0.153106,0.453606,0.0,0.0,611.52,,
Wyoming,Mountain West,1-2,0-2,-11.7,-13.7,-8.7,5.01,Medium,1.0,40.65,87.14,18.71,1292.33,0.0,-18.0,1266.0,-16.833,0.040582,0.14122,0.0,0.0,528.29,,
